ID,time,undefined_genus_of_Enterobacteriaceae,Blautia,Barnesiella,undefined_genus_of_unclassified_Mollicutes,undefined_genus_of_Lachnospiraceae,Akkermansia,Clostridium_difficile,unclassified_Lachnospiraceae,Coprobacillus,Enterococcus,Other
1,-2,5.259,-1.5365,-3.1572,-0.72794,-3.7787,-2.5614,0,-3.0331,0.28035,2.0796,-1.6581
1,0,-0.73919,5.1956,-0.26451,0.42863,-0.26452,5.5695,0,-0.26472,1.9674,-0.82412,-0.44685
1,1,2.5086,-0.42461,2.9076,2.1733,2.9076,-1.6976,0,2.9076,6.3997,4.987,5.1048
1,2,-2.4751,6.226,-1.0147,-1.0147,-1.0147,3.9792,0,-1.0147,-6.4527,-2.1778,-1.5442
1,3,-0.58042,0.082481,-0.21798,-0.21801,-0.218,-0.48448,0,-0.21762,-0.50401,-2.5206,-1.9911
1,4,-0.5238,-3.0855,-1.8615,2.8524,-1.8615,-0.092136,0,-1.862,-1.8615,1.0288,-1.5739
1,5,0.59652,-0.038938,0.058401,0.81097,0.058389,-3.8044,0,0.058219,0.058405,-1.0402,0.69655
1,7,0.07182,0.13426,0.14921,0.21998,0.14921,0.14921,0,0.14933,0.14921,-0.53718,-0.18033
1,10,-1.2967,-0.88953,-0.82216,-0.61591,-0.82214,-0.82215,0,-0.82211,-0.82215,-0.48064,-0.40463
1,14,0.2191,0.17986,0.12009,0.11893,0.12009,0.12009,0,0.12013,0.12009,0.12009,0.13895
1,21,-0.34909,-0.13032,-0.16004,-0.13692,-0.16005,-0.16004,0,-0.1601,-0.16004,-0.0030897,-0.18936
2,-2,0,0.29471,0.042622,-0.18781,-0.37866,0,0,-0.22862,0.60682,0,0.17505
2,0,0,0.0022359,-0.0098673,0.86916,0.10439,0,0,0.13566,-0.088211,0,0.055248
2,4,0,-0.069577,-0.019648,-0.78502,-0.11417,0,0,-0.0095463,-0.21888,0,-0.074389
2,11,0,0.11683,0.17882,0.14055,-0.043853,0,0,0.071443,0.26975,0,0.0045549
3,-2,6.1901,1.3051,-1.1302,0.91401,-0.93141,0.84276,0,-1.2453,1.9466,2.3799,0.041011
3,0,0.045565,0.52881,0.17081,0.17077,-0.43214,0.17005,3.1713,2.9131,4.3697,3.3314,-0.28118
3,1,-4.3986,-1.4543,-4.0192,-3.2845,-1.8069,-1.3495,1.7697,-5.4055,-3.0011,-1.6521,-1.6477
3,2,0.88101,2.8328,0.64415,1.3373,0.42107,-0.048992,-0.007078,-0.71296,-0.59258,0.64413,0.040268
3,3,0.60258,1.208,1.4183,2.9224,-0.5709,3.0277,1.2294,1.4187,-0.085783,1.5361,1.1387
3,4,0.75964,0.89793,0.098892,-2.833,0.098905,-1.5105,-0.93122,0.098845,-2.3772,-2.7915,-2.2365
3,5,0.30712,0.39578,0.31694,1.5813,0.43751,-0.078494,0.15738,0.3169,0.31693,0.42886,0.63882
3,10,0.12469,0.60465,0.26317,0.18969,0.11243,0.2635,0.81653,0.26326,0.26317,0.12325,0.40068
3,14,-0.050106,-0.081454,0.0035786,0.18886,0.0035816,0.0036116,-0.010661,0.0035523,0.0035815,0.16053,0.075454
3,21,0.0064841,0.0025561,-0.12072,-1.1672,-0.12068,-0.12046,0.067473,-0.12084,0.66657,-0.24579,-0.026781
4,-2,4.7955,-1.0256,-2.8591,-0.77737,-3.7629,-1.1217,0,-2.4798,-0.34668,2.3942,-2.4662
4,0,-0.31226,3.1693,-0.18944,0.8604,-0.18937,-0.18928,0,-0.18943,-0.1894,-0.70024,2.2085
4,1,-0.88024,6.6623,1.2785,0.22859,1.2791,1.2782,0,1.2785,3.1251,2.0517,3.5901
4,2,0.91514,0.058567,0.82871,0.82871,0.82881,9.1402,0,0.82872,-1.018,-1.7362,-0.99045
4,3,-3.3114,0.059028,-0.85785,-0.85781,-0.85748,-0.67421,0,-0.85787,-0.85782,0.24078,-3.0551
4,4,2.7681,-2.1761,-1.1358,3.7643,-1.1369,-0.83375,0,-1.1357,-1.1358,-0.84804,2.2654
4,5,0.20521,-0.13416,0.067371,0.96325,0.067663,-4.3312,0,0.06736,0.067368,0.27008,-0.69732
4,7,-0.0042821,0.37584,0.21234,-0.52363,0.21237,0.21236,0,0.21235,0.21234,-0.38491,0.23705
4,10,-0.45958,-0.10374,-0.21483,0.38169,-0.21482,-0.21483,0,-0.21483,-0.21483,-0.47611,-0.13848
4,14,-0.42682,-0.51585,-0.30159,-0.14253,-0.30158,-0.30159,0,-0.30158,-0.30158,-0.053266,-0.46625
4,21,0.025376,-0.068736,-0.25679,-0.1436,-0.25689,-0.25682,0,-0.25679,-0.2568,-0.1259,-0.28285
5,-2,-0.0182,-0.095284,-0.15029,0.53111,0.13379,0,0,-0.0066741,-0.018223,0,-0.037654
5,0,-0.062014,0.065686,-0.03995,0.29807,-0.159,0,0,-0.10885,-0.20191,0,-0.06314
5,4,0.09066,0.20069,0.025831,-0.14974,-0.023696,0,0,0.048217,-0.13386,0,-0.00078117
5,11,-0.071768,0.012633,-0.040335,0.36142,0.13952,0,0,0.04112,0.053731,0,0.057074
6,-2,0.69365,-1.736,-4.417,-2.1278,-2.4357,-0.61033,0,-0.6103,-0.61035,1.3728,-1.2698
6,0,0.94278,-3.529,0.46876,-0.62881,1.0677,1.0671,5.7192,1.067,6.7863,1.878,0.011024
6,1,-1.6261,3.2391,-1.4555,1.9983,-1.4561,-1.1773,0.87705,-1.4554,-3.7755,0.77815,-2.1486
6,2,-0.53514,-0.22086,-0.7348,0.16057,2.9158,-0.041647,-1.1582,1.6179,-2.8749,-1.4768,2.2978
6,3,2.8948,3.1745,3.0938,-1.1689,-0.55676,2.1225,1.2341,0.74105,1.8347,-0.59513,2.7353
6,4,-1.2824,-0.67418,-1.2772,-1.3636,-1.2772,-1.2772,-3.3934,-1.2772,-1.2772,-3.8552,-8.2582
6,5,0.075375,0.59233,0.054169,0.054168,0.054545,0.054172,1.431,0.054169,0.054152,2.7883,2.5542
6,7,0.30194,0.64419,0.51082,0.51081,1.1592,1.0656,0.90289,0.51082,0.51081,0.37567,1.3025
6,10,-0.19123,-0.025856,-0.17852,-0.17851,-0.66471,-0.59461,0.16096,-0.17848,-0.1785,0.12248,-0.5838
6,14,0.13838,0.033734,0.050958,0.050946,0.05099,0.050951,0.007011,0.050961,0.42886,-0.034454,-0.097834
6,21,-0.15615,-0.17031,0.052248,1.109,0.052135,0.052251,-0.046275,0.052218,-0.32566,-0.2903,0.69719
7,-2,2.9524,0.068013,-3.1666,0.033884,-2.1042,-0.56066,0,0.068017,0.068267,0.068015,-3.7549
7,0,-1.012,-0.95454,-1.204,-0.95454,-0.95286,-0.9545,0,-0.95455,9.5048,0.75021,0.9914
7,1,-0.49459,7.805,2.7528,2.7528,2.752,4.4156,0,4.2023,3.4651,4.1616,5.9887
7,2,-1.3128,0.79865,-1.2913,-1.2913,-1.2905,4.8579,0,-2.7407,-12.464,-6.1853,-4.6813
7,3,0.097333,1.1175,0.7479,0.74788,0.74648,0.70797,0,0.74791,0.74795,0.74793,-2.8623
7,4,1.3022,-2.3365,-1.3443,-1.3443,-1.3432,-1.0808,0,-1.3443,-1.3437,0.43614,3.3074
7,5,0.46939,0.025634,-0.068971,2.8399,-0.069068,-4.0867,0,-0.068959,-0.069151,-0.41554,-0.33428
7,7,-0.034704,0.33811,0.21944,-0.49341,0.21936,0.21944,0,0.21944,0.21984,-0.14299,-0.011605
7,10,-0.84715,-0.43315,-0.48528,0.35978,-0.48544,-0.48528,0,-0.48529,-0.48551,-0.21346,0.67096
7,14,0.05494,-0.094865,-0.015525,-0.046024,-0.015409,-0.015524,0,-0.01552,-0.015518,-0.015523,-0.60909
7,21,-0.38035,-0.40312,-0.48077,-0.34787,-0.48059,-0.48077,0,-0.48077,-0.4807,-0.2248,0.00088931
8,-2,0,0.26162,0.35258,-0.19652,0.13809,0,0.37675,0.18275,0.093374,0,0.16566
8,0,0,0.031335,-0.18398,0.8508,-0.10921,0,-0.181,-0.11929,-0.039302,0,-0.10305
8,4,0,0.1417,-0.05912,-0.24341,-0.0072556,0,-0.032479,-0.073182,-0.4772,0,-0.029549
8,11,0,0.24956,0.20438,0.082759,0.14432,0,0.19164,0.14672,0.19153,0,0.1602
9,-2,3.9668,-2.3925,-4.6118,-1.7568,-4.4356,-0.39542,0,-3.786,-2.6078,-0.39506,-0.31768
9,0,1.379,1.1228,1.1251,1.1258,1.1251,1.1252,3.0247,1.125,7.647,4.7962,-0.26326
9,1,-4.3469,1.0418,-3.3965,-0.6743,-2.9719,0.55923,-3.6196,-3.3965,-9.9194,1.2533,-4.5206
9,2,-0.55154,0.9058,0.28675,-0.0009962,1.3853,-0.46357,5.2737,0.28675,7.1611,-2.5712,0.86586
9,3,4.5321,4.3797,3.6305,2.5319,2.1074,0.7973,2.3752,3.6305,1.801,2.6373,4.23
9,4,-0.010508,-0.42278,0.32642,-1.0093,0.32643,-0.045774,-0.50111,0.32643,4.3882,0.85708,-3.0409
9,5,0.14983,0.028656,-0.41386,-0.41367,-0.41384,-0.41388,-1.1139,-0.41386,-4.9678,-2.9139,-0.17407
9,7,0.27131,1.115,0.42454,2.0249,0.42453,0.42456,0.97551,0.42454,0.42477,1.3779,0.17724
9,10,-0.2747,-0.16887,-0.11556,-1.3158,-0.11556,-0.11556,0.64646,-0.1155,-0.11463,0.024336,1.0618
9,14,0.0049031,0.13343,0.098198,1.3284,0.098191,0.15137,-0.0073889,0.09814,0.097744,-0.022848,0.10425
9,21,0.078334,0.027393,-0.023255,-1.2536,-0.023244,-0.076429,-0.011656,-0.023295,-0.023513,-0.081177,0.014281