time,fluo_subpop_OD_1,nofluo_subpop_OD_1,fluo_subpop_OD_2,nofluo_subpop_OD_2,fluo_subpop_OD_3,nofluo_subpop_OD_3,fluo_subpop_OD_4,nofluo_subpop_OD_4
0,0.005189527,0.007443807,0.005477859,0.003255474,0.002186755,4.66E-05,0.006106548,0.001226785
19.99853333,-5.38E-04,0.011837713,0.001527833,0.008172167,3.91E-04,0.001609053,0.001506607,0.004993393
39.99608333,0.001001849,0.012531484,0.003772116,0.008661217,0.001928027,0.002805306,0.003704715,0.005128618
59.99521667,0.002823654,0.015143013,0.004589442,0.011477225,0.004677318,0.003189349,0.007154446,0.004812221
79.99431667,0.007734193,0.01449914,0.006904959,0.014828374,0.00573772,0.008595613,0.008502468,0.008730865
99.99396667,0.009875291,0.021324709,0.014203767,0.016696233,0.01499897,0.00810103,0.015640217,0.009959783
119.9934167,0.016720633,0.030479367,0.026018829,0.019381171,0.021191476,0.016508524,0.022864697,0.016835303
139.992,0.03430492,0.03919508,0.033294066,0.037605934,0.035079591,0.027720409,0.041895146,0.021404854
159.99155,0.066770153,0.049463181,0.069732188,0.043601145,0.072614271,0.032119062,0.062104756,0.038928578
179.99125,0.104499747,0.07176692,0.110971436,0.063195231,0.10962346,0.054543206,0.106105746,0.05206092
199.9878,0.160020188,0.082579812,0.163551535,0.076448465,0.168940123,0.061359877,0.164846436,0.056253564
219.9873167,0.223684058,0.089982609,0.212856958,0.097709708,0.213120954,0.087545712,0.219908557,0.07075811
239.9852,0.276799423,0.104967244,0.288136859,0.090829807,0.278088161,0.089578506,0.270355843,0.086110824
259.9858,0.298403071,0.122430263,0.32154248,0.097790853,0.298504044,0.110429289,0.309540597,0.088992736
279.98345,0.309486021,0.143613979,0.331233387,0.119166613,0.325164026,0.114635974,0.337728564,0.092271436
299.9834167,0.340666631,0.138566703,0.368037719,0.108995614,0.35301829,0.113815044,0.371713693,0.08581964
319.9810667,0.363375425,0.137691242,0.367211476,0.13075519,0.378731292,0.110435375,0.373212028,0.106154638
339.9804833,0.379574235,0.139825765,0.394127291,0.122872709,0.378398893,0.131301107,0.401441215,0.098358785
359.9787667,0.394475335,0.135591331,0.408500652,0.119766015,0.407296165,0.114670501,0.409297343,0.107269324
379.9775167,0.391580462,0.143686204,0.399050104,0.135816562,0.390528553,0.137638114,0.412513796,0.10875287
399.9767333,0.384389068,0.156977599,0.414343107,0.12582356,0.402354275,0.131112392,0.447351058,0.079415608
419.9759833,0.394156578,0.147676755,0.441313655,0.099219678,0.430645683,0.10398765,0.438731332,0.090602001
439.9744833,0.400689119,0.143577548,0.415715725,0.127250942,0.42436715,0.111199517,0.456102806,0.07366386
459.9741833,0.417536754,0.126629912,0.452474504,0.091992162,0.441259139,0.098507527,0.465554582,0.069012085
479.9725667,0.426559234,0.120240766,0.441193469,0.104006531,0.46672136,0.07397864,0.457212569,0.074187431
499.97105,0.438275933,0.110090733,0.440096799,0.109369867,0.44680866,0.096458006,0.482500047,0.05596662
519.9719667,0.414361764,0.133504903,0.441219186,0.107747481,0.451638643,0.093728023,0.480903369,0.059963298
539.96885,0.453155798,0.095310869,0.44310763,0.105659037,0.491576566,0.051990101,0.485308817,0.05405785
559.9698167,0.445006612,0.104526722,0.451495926,0.098637407,0.460135528,0.086497805,0.477723535,0.064709798
579.96755,0.449414666,0.103652,0.462192009,0.090374657,0.479665738,0.072200929,0.49434266,0.050724007
599.9655167,0.453216948,0.100883052,0.444113817,0.111386183,0.465692986,0.086107014,0.484329409,0.062070591
619.965,0.444404326,0.111462341,0.436038372,0.120328294,0.468888761,0.082577906,0.490492775,0.055873891
639.9653333,0.46031644,0.09568356,0.455700819,0.101899181,0.458219752,0.096980248,0.488892789,0.061207211
659.96255,0.461163351,0.096069982,0.449424795,0.111108538,0.479931278,0.081202055,0.483246099,0.070387234
679.96135,0.447365221,0.112434779,0.465885862,0.095914138,0.474443074,0.088456926,0.483582699,0.069817301
699.96,0.472826899,0.086606434,0.458646088,0.102987246,0.465494527,0.103338806,0.501012589,0.057120745